Date,Off-Vein_meterage_m,On-Vein_meterage_m
2017-01-01,8.3,0
2017-01-02,17,56.9
2017-01-03,13.2,18.5
2017-01-04,13.7,8.5
2017-01-05,17.5,20.5
2017-01-06,10.1,9.2
2017-01-07,1,7.5
2017-01-08,3,20.7
2017-01-09,1.6,12.5
2017-01-10,7.5,20.6
2017-01-11,5.5,17
2017-01-12,12.64,19.5
2017-01-13,10.95,16.2
2017-01-14,2,12
2017-01-15,2.66,13.7
2017-01-16,3.77,15.9
2017-01-17,11.3,19
2017-01-18,6.1,21.1
2017-01-19,1.5,18.2
2017-01-20,4.5,19.9
2017-01-21,3.5,9.7
2017-01-22,9.7,16.8
2017-01-23,4.5,16.5
2017-01-24,8,8.9
2017-01-25,3.5,22.5
2017-01-26,0,26.3
2017-01-27,0,1.9
2017-01-28,2,16.5
2017-01-29,0,21.7
2017-01-30,2.5,25.7
2017-01-31,1.5,22.2
2017-02-01,4.5,19.5
2017-02-02,5.5,24.1
2017-02-03,3.3,32.68
2017-02-04,0,16.5
2017-02-05,15.4,19.2
2017-02-06,7.1,16.8
2017-02-07,8.1,19
2017-02-08,11,25.7
2017-02-09,8.83,18.7
2017-02-10,10.1,20.6
2017-02-11,4.3,13.2
2017-02-12,12.6,26.6
2017-02-13,15.1,17
2017-02-14,8.1,28.4
2017-02-15,7,22.1
2017-02-16,10.2,17.5
2017-02-17,6,19.7
2017-02-18,4,11
2017-02-19,6,35.3
2017-02-20,10.7,28
2017-02-21,13.3,28.2
2017-02-22,10.1,27.2
2017-02-23,6,31.9
2017-02-24,2,7.6
2017-02-25,7.5,15.3
2017-02-26,1.5,20.2
2017-02-27,12.6,24.5
2017-02-28,7.2,13.7
2017-03-01,15.2,20.7
2017-03-02,16.7,21.4
2017-03-03,8.8,21.4
2017-03-04,7.6,15
2017-03-05,15,25.9
2017-03-06,18,30.1
2017-03-07,1.5,0
2017-03-08,6.5,20.1
2017-03-09,13,17.7
2017-03-10,12.3,18.7
2017-03-11,3.3,15.7
2017-03-12,13.4,29
2017-03-13,4.5,23.6
2017-03-14,14.75,18.1
2017-03-15,4.4,15.3
2017-03-16,14.2,20.9
2017-03-17,23.4,28.3
2017-03-18,0,5.6
2017-03-19,23.5,16.8
2017-03-20,4,17.7
2017-03-21,11,9.7
2017-03-22,8,16
2017-03-23,10.3,15.7
2017-03-24,9.2,15.9
2017-03-25,1,12.1
2017-03-26,25.3,19.6
2017-03-27,8.7,12.2
2017-03-28,8.9,18.2
2017-03-29,12.3,27.9
2017-03-30,18.6,18.1
2017-03-31,14.3,18.8
2017-04-01,4.4,14.3
2017-04-02,20.5,17.3
2017-04-03,15.7,22.3
2017-04-04,15.1,10.9
2017-04-05,18.7,6
2017-04-06,16.7,8.3
2017-04-07,16,26.1
2017-04-08,7.5,4
2017-04-09,14.8,24.3
2017-04-10,18.4,9.5
2017-04-11,17.6,11.2
2017-04-12,6.6,0
2017-04-13,2,3.5
2017-04-14,5.8,1.5
2017-04-15,3,11.2
2017-04-16,31.3,56.2
2017-04-17,18.2,34.7
2017-04-18,9,18.1
2017-04-19,17.2,17.3
2017-04-20,17.2,31.5
2017-04-21,13.4,20.8
2017-04-22,8.5,19.4
2017-04-23,17.2,15.9
2017-04-24,12.2,24.9
2017-04-25,11.5,28.3
2017-04-26,10.3,24.1
2017-04-27,13.2,20.5
2017-04-28,3,12.7
2017-04-29,4,7.7
2017-04-30,0,4.6
2017-05-01,20,23.75
2017-05-02,5.9,24.3
2017-05-03,17.4,27.6
2017-05-04,12,29.9
2017-05-05,3.7,27.3
2017-05-06,8.3,13.9
2017-05-07,4.5,10.8
2017-05-08,9.8,10.6
2017-05-09,19.7,13
2017-05-10,15.2,14.8
2017-05-11,11,12.7
2017-05-12,15.4,19.4
2017-05-13,4.5,3.2
2017-05-14,12.4,26.6
2017-05-15,12.3,13
2017-05-16,17.4,11.6
2017-05-17,10,9.5
2017-05-18,7.3,30
2017-05-19,9.8,20.5
2017-05-20,17.8,6.4
2017-05-21,7,24.4
2017-05-22,10.3,21.26
2017-05-23,21.3,16.1
2017-05-24,18.6,16.8
2017-05-25,9,9.99
2017-05-26,17.5,14.6
2017-05-27,15,5
2017-05-28,15.5,19.4
2017-05-29,15.2,9.5
2017-05-30,19.9,19.9
2017-05-31,17.9,11.8
2017-06-01,17.8,18.4
2017-06-02,1.5,13.4
2017-06-03,4.3,11.2
2017-06-04,5.4,18.1
2017-06-05,13.6,28.5
2017-06-06,15.2,25.3
2017-06-07,14.7,15.3
2017-06-08,15.4,20.4
2017-06-09,8.5,21.9
2017-06-10,27.8,11.6
2017-06-11,8.9,0
2017-06-12,16.2,21.3
2017-06-13,16.5,35.2
2017-06-14,18.7,13.5
2017-06-15,7.3,15
2017-06-16,25.2,10
2017-06-17,17.9,17.3
2017-06-18,12.2,13.9
2017-06-19,21.2,9.9
2017-06-20,11.3,15.3
2017-06-21,16.4,16.3
2017-06-22,16.1,20.5
2017-06-23,22.7,16.1
2017-06-24,10,6
2017-06-25,1.5,3
2017-06-26,22.8,41.5
2017-06-27,33.96,38.8
2017-06-28,13.9,25.7
2017-06-29,9.57,14.3
2017-06-30,4.2,9
2017-07-01,13.7,17.3
2017-07-02,22.2,21.5
2017-07-03,9.9,20.8
2017-07-04,6.7,23.8
2017-07-05,10.4,21.58
2017-07-06,14.16,23.85
2017-07-07,20.5,24.3
2017-07-08,7.8,15.3
2017-07-09,15.64,25.3
2017-07-10,4.2,20.9
2017-07-11,6.4,32.95
2017-07-12,5.1,22.8
2017-07-13,16.6,36.3
2017-07-14,6.4,25.8
2017-07-15,4,17.7
2017-07-16,13.3,15.1
2017-07-17,20,18.1
2017-07-18,7.5,17.2
2017-07-19,6.9,15.2
2017-07-20,20.7,20.9
2017-07-21,12,25.8
2017-07-22,9.3,15.2
2017-07-23,18,32.2
2017-07-24,9.7,22.5
2017-07-25,13.8,25
2017-07-26,12.4,21.3
2017-07-27,7.6,24.8
2017-07-28,13.9,16.5
2017-07-29,5,9.5
2017-07-30,14.2,16.5
2017-07-31,11.9,14.5
2017-08-01,11.2,30.9
2017-08-02,16.6,29.71
2017-08-03,5.6,16.4
2017-08-04,21,26.6
2017-08-05,2,21.5
2017-08-06,19.7,24.8
2017-08-07,9.3,29.5
2017-08-08,10.4,23.12
2017-08-09,8.5,18.6
2017-08-10,4.1,17.8
2017-08-11,8.5,16.1
2017-08-12,10.3,16.8
2017-08-13,27.5,31.3
2017-08-14,10.3,23.4
2017-08-15,8.3,22.1
2017-08-16,12.3,5.8
2017-08-17,22.1,26.8
2017-08-18,17.86,24.3
2017-08-19,10.8,23.5
2017-08-20,0,0
2017-08-21,14.3,32.6
2017-08-22,7.8,20.80714286
2017-08-23,18.9,35.60714286
2017-08-24,13.7,30.70714286
2017-08-25,18.1,28.80714286
2017-08-26,3.5,14.30714286
2017-08-27,3.8,13.30714286
2017-08-28,29.5,47.00714286
2017-08-29,14,26.45
2017-08-30,13.65,29.8
2017-08-31,3.7,6.8
2017-09-01,10.2,23.7
2017-09-02,5.5,10.9
2017-09-03,33,34.1
2017-09-04,28.201,25.1
2017-09-05,16.8,37.5
2017-09-06,15.4,41.88
2017-09-07,4.5,10.75
2017-09-08,18.2,38.7
2017-09-09,3,13.6
2017-09-10,16.1,32.5
2017-09-11,13,30.66
2017-09-12,18.19,30.85
2017-09-13,18.2,26.49
2017-09-14,4.5,26.53
2017-09-15,13.6,30.1
2017-09-16,7.4,14.2
2017-09-17,12.8,41.3
2017-09-18,6.15,17.5
2017-09-19,17.05,35.28
2017-09-20,2.5,27.92
2017-09-21,11.3,37.9
2017-09-22,6.3,39.68
2017-09-23,4,19.5
2017-09-24,7.42,43.1
2017-09-25,7.5,30.9
2017-09-26,7.1,38.4
2017-09-27,8.84,24.8
2017-09-28,9.433333333,29.01
2017-09-29,6.9,19.63333333
2017-09-30,0,2.133333333
2017-10-01,17.31,64.9
2017-10-02,14,39.4
2017-10-03,5.6,40.73
2017-10-04,12.7,38.27
2017-10-05,6.2,28.5
2017-10-06,16.6,21.4
2017-10-07,11.8,11.2
2017-10-08,24.94,45.46
2017-10-09,17.08,18.5
2017-10-10,0,5
2017-10-11,3.5,16.5
2017-10-12,24.21,33.23
2017-10-13,15.3,35.2
2017-10-14,8.1,27.05
2017-10-15,27.95,26.15
2017-10-16,10.2,26.64
2017-10-17,27.1,18
2017-10-18,10.4,19.1
2017-10-19,9.9,27.6
2017-10-20,15.5,12.8
2017-10-21,7.8,17.3
2017-10-22,19.4,28.2
2017-10-23,16.5,38.3
2017-10-24,8.4,41.1
2017-10-25,27.96,24.7
2017-10-26,3.5,23.8
2017-10-27,12.5,24.5
2017-10-28,3,18
2017-10-29,17.3,39.08
2017-10-30,12.71,21.4
2017-10-31,1.5,5.6
2017-11-01,8.8,21.1
2017-11-02,10.4,20.7
2017-11-03,3.5,9.2
2017-11-04,7.22,24.2
2017-11-05,16.2,28.7
2017-11-06,16.4,30.4
2017-11-07,14,51.05
2017-11-08,9.6,26.95
2017-11-09,5.5,23.3
2017-11-10,11.5,38.4
2017-11-11,2.5,20.9
2017-11-12,14.2,34.5
2017-11-13,17.9,42.05
2017-11-14,20.5,27.9
2017-11-15,12.2,33.2
2017-11-16,7,40.7
2017-11-17,11.4,27.4
2017-11-18,0,22.4
2017-11-19,9.5,39.1
2017-11-20,9.4,21.1
2017-11-21,12.4,40.2
2017-11-22,10.5,28.12
2017-11-23,17.3,29.02
2017-11-24,13,28.4
2017-11-25,7.5,11
2017-11-26,13.5,46.2
2017-11-27,6.41,42.1
2017-11-28,11.6,36.9
2017-11-29,0,18.6
2017-11-30,2.5,40.29
2017-12-01,4.5,31.3
2017-12-02,6.5,30.3
2017-12-03,20.65,64.15
2017-12-04,7.34,40.9
2017-12-05,8.7,29.6
2017-12-06,11.59,21.9
2017-12-07,6.24,37
2017-12-08,18.2,30
2017-12-09,9.5,18.8
2017-12-10,13.1,42.8
2017-12-11,14.3,52.48
2017-12-12,10.7,22.32
2017-12-13,19.2,33.3
2017-12-14,19.7,30.8
2017-12-15,4.7,17.1
2017-12-16,1,17.3
2017-12-17,24.3,46.1
2017-12-18,14.6,49.68
2017-12-19,10.8,33
2017-12-20,11.1,53.9
2017-12-21,3.5,28.1
2017-12-22,5.8,28.8
2017-12-23,3,17.61
2017-12-24,0,2
2017-12-25,13.86,46.1
2017-12-26,18.5,41.63
2017-12-27,9.84,30.5
2017-12-28,2.5,47.1
2017-12-29,2,11.1
2017-12-30,3.4,8.8
2017-12-31,0,12.8
2018-01-01,7.5,58.8
2018-01-02,11.4,32.5
2018-01-03,23.7245,45.22
2018-01-04,4.6,40.08
2018-01-05,13.5,33.7
2018-01-06,9,27.4
2018-01-07,14.7,41.83
2018-01-08,28,17
2018-01-09,7.3,44.2
2018-01-10,3,5.6
2018-01-11,11.3,19.1
2018-01-12,14.2,21.7
2018-01-13,3.2,24.2
2018-01-14,27.4,47
2018-01-15,22.5,27.75
2018-01-16,15.83,27.36
2018-01-17,11.3,34.14
2018-01-18,7.95,29.4
2018-01-19,16.2,30.11
2018-01-20,3,27.2
2018-01-21,14.9,24.6
2018-01-22,16.2,32.25
2018-01-23,5.13,29.53
2018-01-24,12.73,30.15
2018-01-25,13.8,23.1
2018-01-26,1.7,20.8
2018-01-27,3.5,30.5
2018-01-28,17.79,44.57
2018-01-29,13.4,37
2018-01-30,9.66,37.5
2018-01-31,13,23.7
2018-02-01,19.56,36.3
2018-02-02,17.6,27.3
2018-02-03,4.8,26.2
2018-02-04,13.5,33.6
2018-02-05,10.5,30.4
2018-02-06,25.21,54.1
2018-02-07,15.4,44.3
2018-02-08,9.5,53.45
2018-02-09,16.7,22.5
2018-02-10,8.8,13.1
2018-02-11,13.9,27.3
2018-02-12,16.55,23
2018-02-13,13.1,46.8
2018-02-14,12.55,38.55
2018-02-15,4.7,4.81
2018-02-16,18.3,22.3
2018-02-17,7.1,20.4
2018-02-18,15.3,56.8
2018-02-19,10.94,28.26
2018-02-20,12.9,40.55
2018-02-21,10,35.16
2018-02-22,8.3,30
2018-02-23,11.3,24.8
2018-02-24,2.5,16.9
2018-02-25,9.1,37.5
2018-02-26,20.6,40.32
2018-02-27,8.3,23
2018-02-28,8.18,33.68
2018-03-01,8.8,36.96
2018-03-02,10.7,35.9
2018-03-03,11.9,29.1
2018-03-04,20.4,41.6
2018-03-05,8.4,32.92
2018-03-06,13.8,53.9
2018-03-07,8.94,13.4
2018-03-08,14.5,27.3
2018-03-09,19.2,30.4
2018-03-10,14.4,27.6
2018-03-11,7.6,47.9
2018-03-12,25.7,34.7
2018-03-13,10.2,37.6
2018-03-14,15.8,37.67
2018-03-15,13.1,19.75
2018-03-16,19.9,33.7
2018-03-17,11.7,17.5
2018-03-18,20.86,41.68
2018-03-19,12.54,37.8
2018-03-20,31.8,30.3
2018-03-21,20.5,34.2
2018-03-22,18.9,48.5
2018-03-23,17.2,57.2
2018-03-24,7,29
2018-03-25,15.4,29.94
2018-03-26,10.7,26.9
2018-03-27,10.4,31.7
2018-03-28,10.13,71
2018-03-29,4.7,41.1
2018-03-30,5.3,23.2
2018-03-31,2.5,31.3
2018-04-01,17.9,33.68
2018-04-02,7.4,27.4
2018-04-03,18.3,37
2018-04-04,14.3,54.92
2018-04-05,27.19,31
2018-04-06,6.5,27.6
2018-04-07,7.7,25.2
2018-04-08,34.8,31.05
2018-04-09,24.9,38
2018-04-10,22.4,48.04
2018-04-11,15.6,36.5
2018-04-12,17.13,46.03
2018-04-13,20.78,45.34
2018-04-14,4.3,50.3
2018-04-15,7.14,55.958
2018-04-16,21.4,63.4
2018-04-17,14.3,42.27
2018-04-18,19.4,44.9
2018-04-19,25.3,37.1
2018-04-20,11.4,56.02
2018-04-21,12,32
2018-04-22,30.2,49.4
2018-04-23,17.3,35.5
2018-04-24,28.66,44.81
2018-04-25,18.2,39
2018-04-26,11.9,58.57
2018-04-27,17.55,48.56
2018-04-28,5,25.6
2018-04-29,24.98,45.21
2018-04-30,6,6.4
2018-05-01,6.9,18.1
2018-05-02,15,47.85
2018-05-03,16.7,26.5
2018-05-04,27.92,27.69
2018-05-05,15.7,21
2018-05-06,25.4,25.9
2018-05-07,23.5,29.8
2018-05-08,30.64,29.4
2018-05-09,26.4,45.35
2018-05-10,21.06,30
2018-05-11,16.4,45.95
2018-05-12,8.3,20
2018-05-13,5.7,15.5
2018-05-14,18.2,23.4
2018-05-15,16.9,30.89
2018-05-16,9.3,38.46
2018-05-17,18.75,25.3
2018-05-18,21.2,35.3
2018-05-19,14.3,22.4
2018-05-20,13,31.2
2018-05-21,5.9,22.8
2018-05-22,18.3,0
2018-05-23,12.34,0
2018-05-24,17.8,0
2018-05-25,11.03,0
2018-05-26,23.6,0
2018-05-27,25.56,0
2018-05-28,31.5,0
2018-05-29,16.1,0
2018-05-30,8,0
2018-05-31,9.6,0
2018-06-01,13.56,26.7
2018-06-02,8.5,16.4
2018-06-03,26.1,33.21
2018-06-04,6.8,34.88
2018-06-05,27.1,59.46
2018-06-06,24.98,44.9
2018-06-07,18.7,47.06
2018-06-08,19.34,16.9
2018-06-09,9.5,20.7
2018-06-10,33,23.7
2018-06-11,10.6,17.9
2018-06-12,23,20.9
2018-06-13,29.77,53.61
2018-06-14,17.2,18.9
2018-06-15,14.9,42.25
2018-06-16,14,24.81
2018-06-17,40.68,57.66
2018-06-18,23.25,37.33
2018-06-19,21.44,45.46
2018-06-20,27.4,23.2
2018-06-21,19.2,33.88
2018-06-22,12.3,23.7
2018-06-23,17.1,18.2
2018-06-24,37.9,34.66
2018-06-25,36.7,28.11
2018-06-26,24.95,26.03
2018-06-27,21,31
2018-06-28,41.4,21.9
2018-06-29,14,25.6
2018-06-30,14.6,23.99
2018-07-01,34.86,47.1
2018-07-02,15.4,19.16
2018-07-03,33.1,47.09
2018-07-04,35.67,45.74
2018-07-05,26.5,45.9
2018-07-06,15.2,47.8
2018-07-07,7.1,28.7
2018-07-08,21.77,54.37
2018-07-09,24.3,40.54
2018-07-10,22.1,37.45
2018-07-11,30.82,37.46
2018-07-12,34.65,32.34
2018-07-13,20.3,30.7
2018-07-14,19.34,22.9
2018-07-15,39.24,58.2
2018-07-16,18.9,40.5
2018-07-17,23.6,34.78
2018-07-18,22.9,36.94
2018-07-19,25.1,51.38
2018-07-20,14.1,14.8
2018-07-21,14.6,26.3
2018-07-22,34.5,30.1
2018-07-23,36.7,28.1
2018-07-24,24.63,56.72
2018-07-25,29.91,31.4
2018-07-26,29.38,33.42
2018-07-27,29.76,38.4
2018-07-28,19.8,20.4
2018-07-29,39.5,34.9
2018-07-30,25.4,37.1
2018-07-31,34.7,55.54
2018-08-01,25.46,27.4
2018-08-02,16.1,27.7
2018-08-03,26.86,35.34
2018-08-04,12.65,30
2018-08-05,39,26.5
2018-08-06,18.04,31.5
2018-08-07,15.63,25.9
2018-08-08,34.1,35.95
2018-08-09,22.72,31.1
2018-08-10,31.7,36.9
2018-08-11,9.2,21.5
2018-08-12,33.7,47.4
2018-08-13,20.1,35.39
2018-08-14,24.9,51.04
2018-08-15,26.1,38.3
2018-08-16,14.6,48.25
2018-08-17,16.7,28.5
2018-08-18,23.41,56.35
2018-08-19,13.3,7.2
2018-08-20,17.6,59.18
2018-08-21,26.64,37.7
2018-08-22,9.5,48.05
2018-08-23,26.26,48.3
2018-08-24,24.3,50.4
2018-08-25,21.6,39.5
2018-08-26,4.5,2.7
2018-08-27,10,11.8
2018-08-28,29.1,91.77
2018-08-29,28.6,76.95
2018-08-30,25.3,32
2018-08-31,26.01,51.3
2018-09-01,2.8,16.8
2018-09-02,15.1,20.39
2018-09-03,28.5,43.7
2018-09-04,44.9,68.9
2018-09-05,25.4,27.7
2018-09-06,31.6,19.2
2018-09-07,18.2,33.4
2018-09-08,25.1,28.9
2018-09-09,14,7.3
2018-09-10,32.61,37.75
2018-09-11,35.3,48.7
2018-09-12,24.9,25.5
2018-09-13,21.4,17
2018-09-14,8,10.1
2018-09-15,0,0
2018-09-16,19,29.8
2018-09-17,32.38,32.5
2018-09-18,30.19,34.76
2018-09-19,26.85,37
2018-09-20,24.7,30
2018-09-21,14.5,40
2018-09-22,7.5,21.5
2018-09-23,17.7,17.1
2018-09-24,17.8,47.65
2018-09-25,26.6,22.4
2018-09-26,30.19,29.6
2018-09-27,16.55,41.2
2018-09-28,17.9,34.65
2018-09-29,11.94,18.1
2018-09-30,23,24.5
2018-10-01,24.2,33.9
2018-10-02,21.6,34.1
2018-10-03,15.4,31.2
2018-10-04,29.4,50.04
2018-10-05,21.9,22
2018-10-06,16.9,14.4
2018-10-07,25.9,26.76
2018-10-08,25.9,54.76
2018-10-09,16.3,30.72
2018-10-10,12.86,24.89
2018-10-11,22.6,22.6
2018-10-12,21.2,44.7
2018-10-13,6.1,20.5
2018-10-14,4.5,23.3
2018-10-15,16.78,42.23
2018-10-16,30.5,22.6
2018-10-17,20.6,30.4
2018-10-18,31.25,35
2018-10-19,19.2,25.1
2018-10-20,20.9,36.61
2018-10-21,11.4,18.9
2018-10-22,13.6,43.52
2018-10-23,22.2,43.4
2018-10-24,17.83,29.55
2018-10-25,21.77,22.26
2018-10-26,20.4,28.74
2018-10-27,24.4,26.6
2018-10-28,15.8,26.2
2018-10-29,24.6,29.2
2018-10-30,26.78,24.08
2018-10-31,18.4,21.7
2018-11-01,11.4,19.3
2018-11-02,17,17
2018-11-03,21.6,11.5
2018-11-04,3.6,11
2018-11-05,39.49,31.04
2018-11-06,23.43,23.9
2018-11-07,26.89,37.72
2018-11-08,8.4,26.32
2018-11-09,24.68,39.25
2018-11-10,21.45,37.48
2018-11-11,11.5,13.03
2018-11-12,26.63,29.9
2018-11-13,19.35,33.8
2018-11-14,26.3,16.4
2018-11-15,30.9,26.9
2018-11-16,24.1,28
2018-11-17,20.8,10.7
2018-11-18,17.7,18.85
2018-11-19,10.3,15.6
2018-11-20,36.88,41.5
2018-11-21,29.46,17.88
2018-11-22,38.7,36.6
2018-11-23,2.57,11.7
2018-11-24,35.6,43.54
2018-11-25,13.08,15.1
2018-11-26,43,28.9
2018-11-27,35.2,27
2018-11-28,27.93,33.5
2018-11-29,22.45,21.3
2018-11-30,8.9,24.4
2018-12-01,18.2,29.9
2018-12-02,1.8,10.2
2018-12-03,30.93,33.9
2018-12-04,18.94,48.42
2018-12-05,28.8,23.6
2018-12-06,17.25,25.1
2018-12-07,1.3,8.4
2018-12-08,28.54,25.2
2018-12-09,9.7,37.3
2018-12-10,37.5,22.04
2018-12-11,21.6,23.1
2018-12-12,20.7,32.8
2018-12-13,20.1,30.46
2018-12-14,27.75,23.95
2018-12-15,14.34,25.3
2018-12-16,18.7,27.5
2018-12-17,30.68,42.28
2018-12-18,23.6,29.2
2018-12-19,3.4,17
2018-12-20,14.8,15.12
2018-12-21,20.68,23.55
2018-12-22,10.6,4.3
2018-12-23,10.2,21.4
2018-12-24,17.9,27.43
2018-12-25,12.8,20.6
2018-12-26,16.7681,50.57
2018-12-27,42.1,21.04
2018-12-28,27.4,21.5
2018-12-29,2.3,0
2018-12-30,8.1,1.7
2018-12-31,9.3,20.4
2019-01-01,0,1.72
2019-01-02,16.7,42.26
2019-01-03,17.8,26.23
2019-01-04,24.26,42.65
2019-01-05,18.5,20.2
2019-01-06,13.6,23.5
2019-01-07,24.4,37.5
2019-01-08,21.2,26.96
2019-01-09,18.9,24.2
2019-01-10,11.5,27.4
2019-01-11,26.1,41.9
2019-01-12,10.3,11.39
2019-01-13,17,29.84
2019-01-14,24.7,45.88
2019-01-15,10.7,23.18
2019-01-16,7.2,28.16
2019-01-17,6.2,17.54
2019-01-18,26.7,38.6
2019-01-19,10.2,10
2019-01-20,11.8,17.2
2019-01-21,23.62,29.9
2019-01-22,14.9,28.5
2019-01-23,9.8,24.2
2019-01-24,1.8,13.1
2019-01-25,36.9,30.3
2019-01-26,9.2,9.67
2019-01-27,0,4.72
2019-01-28,21.2,42.71
2019-01-29,12.05,14.18
2019-01-30,21.78,14.7
2019-01-31,18.5,16.8
2019-02-01,25.66,11.5
2019-02-02,12.75,19.7
2019-02-03,6.1,11.9
2019-02-04,38.1,34.6
2019-02-05,15.53,29.1
2019-02-06,15.9,38.4
2019-02-07,28.04,1
2019-02-08,18.16,32.65
2019-02-09,10.5,17.8
2019-02-10,8.9,21.8
2019-02-11,23.7,6.3
2019-02-12,24.8,42.95
2019-02-13,17.25,21.36
2019-02-14,21.7,47.1
2019-02-15,32.18,26.5
2019-02-16,16.9,4.7
2019-02-17,7.9,28.4
2019-02-18,29.28,45.6
2019-02-19,17,22.4
2019-02-20,27.02,41.44
2019-02-21,5,14.5
2019-02-22,41.4,33.6
2019-02-23,9.1,26.6
2019-02-24,12.6,31.5
2019-02-25,28.11,33.3
2019-02-26,20.82,29.6
2019-02-27,19.89,13
2019-02-28,25.03,35.3
2019-04-01,38.3,42.9
2019-04-02,18.8,21.85
2019-04-03,12.6,21.1
2019-04-04,23.27,33.35
2019-04-05,18.6,38.3
2019-04-06,13.8,25.4
2019-04-07,12.4,2.8
2019-04-08,12.73,3.8
2019-04-09,20.55,34.9
2019-04-10,17.7,22.9
2019-04-11,22.6,34.2
